rank,name,height,floors,year,address,street
1,One World Trade Center,1776,104,2014,285 Fulton Street,Fulton Street
2,Central Park Tower,1550,98,2020,225 West 57th Street,West 57th Street
3,111 West 57th Street,1428,84,2021,111 West 57th Street,West 57th Street
4,One Vanderbilt,1401,59,2020,One Vanderbilt Avenue,Vanderbilt Avenue
5,432 Park Avenue,1396,88,2015,432 Park Avenue,Park Avenue
6,30 Hudson Yards,1270,73,2019,West 33rd Street & Tenth Avenue,33rd Street
7,Empire State Building,1250,102,1931,350 Fifth Avenue,Fifth Avenue
8,Bank of America Tower,1200,55,2009,1101 Sixth Avenue,Sixth Avenue
9,3 World Trade Center,1079,80,2018,175 Greenwich Street,Greenwich Street
10,53W53,1050,77,2019,53 West 53rd Street,West 53rd Street
11,Chrysler Building,1046,77,1930,405 Lexington Avenue,Lexington Avenue
12,The New York Times Building,1046,52,2007,620 Eighth Avenue,Eighth Avenue
13,The Spiral,1041,66,2021,435 Tenth Avenue,Tenth Avenue
14,50 Hudson Yards,1011,58,2022,504 West 34th Street,West 34th Street
15,35 Hudson Yards,1009,72,2019,532-560 West 33rd Street,West 33rd Street
16,One57,1004,73,2014,157 West 57th Street,West 57th Street
17,1 Manhattan West,995,67,2019,401 Ninth Avenue,Ninth Avenue
18,4 World Trade Center,978,74,2013,150 Greenwich Street,Greenwich Street
19,220 Central Park South,953,69,2019,220 59th Street,59th Street
20,70 Pine Street,952,67,1932,70 Pine Street,Pine Street
21,Four Seasons Hotel New York Downtown,937,82,2016,27 Barclay Street,Barclay Street
22,40 Wall Street,927,71,1930,40 Wall Street,Wall Street
23,Citigroup Center,915,63,1977,601 Lexington Avenue,Lexington Avenue
24,15 Hudson Yards,912,70,2019,West 30th Street & Eleventh Avenue,30th Street
25,125 Greenwich Street,912,72,2020,125 Greenwich Street,Greenwich Street
26,425 Park Avenue,897,41,2020,425 Park Avenue,Park Avenue
27,10 Hudson Yards,878,52,2016,501 West 30th Street,West 30th Street
28,8 Spruce Street,870,76,2011,8 Spruce Street,Spruce Street
29,Trump World Tower,861,72,2001,845 United Nations Plaza,United Nations Plaza
30,30 Rockefeller Plaza,850,70,1933,30 Rockefeller Plaza,Rockefeller Plaza
31,One Manhattan Square,847,72,2019,250 South Street,South Street
32,56 Leonard Street,821,57,2016,56 Leonard Street,Leonard Street
33,CitySpire Center,814,75,1987,156 West 56th Street,West 56th Street
34,28 Liberty Street,813,60,1961,28 Liberty Street,Liberty Street
35,4 Times Square,809,48,1999,1472 Broadway,Broadway
36,MetLife Building,808,59,1963,200 Park Avenue,Park Avenue
37,731 Lexington Avenue,806,54,2004,731 Lexington Avenue,Lexington Avenue
38,138 East 50th Street,803,64,2019,138 East 50th Street,East 50th Street
39,130 William Street,800,66,2020,130 William Street,William Street
40,126 Madison Avenue,800,62,2021,15 East 30th Street,East 30th Street
41,Woolworth Building,792,57,1913,233 Broadway,Broadway
42,111 Murray Street,792,58,2018,111 Murray Street,Murray Street
43,520 Park Avenue,781,54,2018,520 Park Avenue,Park Avenue
44,50 West Street,779,64,2018,50 West Street,West Street
45,One Worldwide Plaza,778,47,1989,825 Eighth Avenue,Eighth Avenue
46,55 Hudson Yards,778,51,2019,550 West 34th Street,West 34th Street
47,Skyline Tower,778,67,2021,23-15 44th Drive,44th Drive
48,Madison Square Park Tower,777,64,2017,45 East 22nd Street,East 22nd Street
49,19 Dutch,758,63,2019,19 Dutch Street,Dutch Street
50,Carnegie Hall Tower,757,60,1991,152 West 57th Street,West 57th Street
51,383 Madison Avenue,755,47,2001,383 Madison Avenue,Madison Avenue
52,29-37 41st Avenue,755,67,2021,Queens Plaza Park,Queens Plaza Park
53,1717 Broadway,754,68,2013,1717 Broadway,Broadway
54,AXA Equitable Center,752,54,1986,787 Seventh Avenue,Seventh Avenue
55,1251 Avenue of the Americas,750,54,1971,1251 Sixth Avenue,Sixth Avenue
56,One Penn Plaza,750,57,1972,250 West 34th Street,West 34th Street
57,Time Warner Center North Tower,750,55,2003,10 Columbus Circle,Columbus Circle
58,Time Warner Center South Tower,750,55,2003,10 Columbus Circle,Columbus Circle
59,200 West Street,750,44,2010,200 West Street,West Street
